Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,11.50,10.45,12.50,unch,10,0,285.73%,12/16/25,11.00,Put,0.01,0.00,0.27,unch,0,214,337.77%,12/15/25
Call,8.15,9.70,11.50,+1.10,1,0,296.87%,12/12/25,12.00,Put,0.06,0.00,0.69,unch,26,0,395.81%,12/09/25
Call,5.65,8.55,10.50,+0.65,1,0,242.98%,12/02/25,13.00,Put,0.01,0.00,0.01,unch,0,10,151.80%,12/15/25
Call,6.94,7.50,9.50,+1.29,2,0,207.30%,12/05/25,14.00,Put,0.03,0.00,0.02,+0.01,98,524,154.36%,12/18/25
Call,6.45,7.05,9.00,+1.45,2,0,201.30%,12/05/25,14.50,Put,0.01,0.00,0.02,-0.02,1,605,123.75%,12/18/25
Call,4.45,6.70,8.50,unch,0,10,206.13%,12/11/25,15.00,Put,0.03,0.00,0.03,-0.01,5,21,134.14%,12/18/25
Call,4.16,6.10,8.00,-0.74,1,0,181.56%,12/09/25,15.50,Put,0.05,0.01,0.07,unch,0,420,130.47%,12/16/25
Call,5.00,5.55,7.50,unch,0,2,163.19%,12/17/25,16.00,Put,0.05,0.03,0.07,-0.02,43,225,125.53%,12/18/25
Call,5.41,5.00,7.00,unch,0,1,145.32%,12/15/25,16.50,Put,0.10,0.01,0.14,+0.01,3,351,132.97%,12/18/25
Call,5.30,4.65,6.00,+0.80,175,13,0.00%,12/18/25,17.00,Put,0.05,0.03,0.07,-0.10,97,283,106.03%,12/18/25
Call,4.25,4.00,6.00,unch,0,5,122.52%,12/15/25,17.50,Put,0.07,0.00,0.15,-0.11,2,214,103.33%,12/18/25
Call,4.70,3.60,5.50,+1.45,10,19,144.31%,12/18/25,18.00,Put,0.12,0.09,0.12,-0.15,255,910,106.00%,12/18/25
Call,3.85,3.80,5.05,+1.00,13,104,159.26%,12/18/25,18.50,Put,0.14,0.11,0.20,-0.22,126,468,99.43%,12/18/25
Call,3.71,3.40,3.65,+1.18,39,158,93.83%,12/18/25,19.00,Put,0.17,0.17,0.20,-0.29,750,"3,861",93.83%,12/18/25
Call,3.36,2.96,3.55,+1.28,17,381,123.89%,12/18/25,19.50,Put,0.22,0.21,0.25,-0.37,331,"2,628",89.99%,12/18/25
Call,3.00,2.44,2.75,+1.38,53,"1,059",80.78%,12/18/25,20.00,Put,0.29,0.30,0.34,-0.42,"1,263",893,90.33%,12/18/25
Call,2.44,2.09,2.31,+1.04,399,420,80.16%,12/18/25,20.50,Put,0.41,0.42,0.46,-0.48,979,"1,333",89.81%,12/18/25
Call,1.90,1.75,1.90,+0.69,762,"1,461",85.28%,12/18/25,21.00,Put,0.59,0.56,0.62,-0.66,801,843,89.35%,12/18/25
Call,1.55,1.46,1.55,+0.65,949,862,82.52%,12/18/25,21.50,Put,0.77,0.69,0.81,-0.74,324,678,88.73%,12/18/25
Call,1.20,1.18,1.25,+0.49,"2,096","2,877",77.30%,12/18/25,22.00,Put,0.97,0.94,0.99,-0.89,992,604,87.08%,12/18/25
Call,0.95,0.93,1.04,+0.38,"1,631","1,485",77.06%,12/18/25,22.50,Put,1.22,1.21,1.25,-0.82,"1,684",883,86.67%,12/18/25
Call,0.77,0.71,0.80,+0.27,"2,459","3,007",79.26%,12/18/25,23.00,Put,1.55,1.50,1.65,-0.97,"3,124",424,89.77%,12/18/25
Call,0.58,0.54,0.64,+0.22,"1,783","1,626",77.94%,12/18/25,23.50,Put,1.65,1.56,1.94,-1.40,"2,650",362,71.93%,12/18/25
Call,0.45,0.45,0.47,+0.15,"2,313","3,221",78.85%,12/18/25,24.00,Put,1.99,1.80,2.42,-1.01,"2,647",37,69.50%,12/18/25
Call,0.28,0.26,0.30,+0.07,"3,149","1,726",82.30%,12/18/25,25.00,Put,2.74,2.04,3.75,-1.56,19,54,58.40%,12/18/25
Call,0.20,0.01,0.21,+0.02,"1,439","1,171",89.18%,12/18/25,26.00,Put,3.65,2.90,4.55,-1.06,6,63,69.72%,12/18/25
Call,0.12,0.04,0.15,+0.06,384,295,90.81%,12/18/25,27.00,Put,5.80,3.70,5.75,unch,0,1,82.57%,12/17/25
Call,0.07,0.01,0.25,unch,126,373,92.04%,12/18/25,28.00,Put,0.00,4.65,6.75,unch,0,0,87.40%,N/A
Call,0.05,0.03,0.07,-0.02,10,53,96.78%,12/18/25,29.00,Put,0.00,5.65,7.65,unch,0,0,0.00%,N/A
Call,0.03,0.02,0.06,-0.03,5,121,98.17%,12/18/25,30.00,Put,7.40,6.60,8.60,unch,0,1,0.00%,12/17/25
Call,0.00,0.02,0.05,+0.03,11,0,109.67%,N/A,31.00,Put,0.00,7.60,9.70,unch,0,0,0.00%,N/A
Call,0.00,0.00,0.10,unch,0,0,141.72%,N/A,32.00,Put,0.00,8.60,10.70,unch,0,0,0.00%,N/A
Call,0.00,0.00,0.66,unch,0,0,239.94%,N/A,33.00,Put,10.50,9.60,11.70,+10.50,2,0,0.00%,12/18/25
Call,0.00,0.00,0.66,unch,100,0,251.37%,N/A,34.00,Put,0.00,10.60,12.70,unch,0,0,0.00%,N/A
Call,0.02,0.00,0.09,-0.02,60,0,131.70%,12/18/25,35.00,Put,0.00,11.60,13.70,unch,0,0,0.00%,N/A
"Downloaded from Barchart.com as of 12-19-2025 07:46am CST"
