Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,puts_open_interest,put_volume,Put_IV,Put_Vanna
TSLL,2025-12-19,2025-12-26,,11.0,0.97,0.007,-0.041,0.0,10.0,2.857,,-0.048,0.009,-0.069,214.0,0.0,3.378,
TSLL,2025-12-19,2025-12-26,,12.0,0.949,0.011,-0.065,0.0,1.0,2.969,,-0.088,0.012,-0.13,0.0,26.0,3.958,
TSLL,2025-12-19,2025-12-26,,13.0,0.954,0.012,-0.05,0.0,1.0,2.43,,-0.006,0.003,-0.005,10.0,0.0,1.518,
TSLL,2025-12-19,2025-12-26,,14.0,0.953,0.014,-0.043,0.0,2.0,2.073,,-0.015,0.008,-0.012,524.0,98.0,1.544,
TSLL,2025-12-19,2025-12-26,,14.5,0.945,0.017,-0.047,0.0,2.0,2.013,,-0.007,0.005,-0.005,605.0,1.0,1.238,
TSLL,2025-12-19,2025-12-26,,15.0,0.928,0.02,-0.06,10.0,0.0,2.061,,-0.018,0.01,-0.012,21.0,5.0,1.341,
TSLL,2025-12-19,2025-12-26,,15.5,0.933,0.022,-0.05,0.0,1.0,1.816,,-0.023,0.013,-0.015,420.0,0.0,1.305,
TSLL,2025-12-19,2025-12-26,,16.0,0.934,0.024,-0.045,2.0,0.0,1.632,,-0.029,0.016,-0.017,225.0,43.0,1.255,
TSLL,2025-12-19,2025-12-26,,16.5,0.936,0.026,-0.039,1.0,0.0,1.453,,-0.05,0.024,-0.028,351.0,3.0,1.33,
TSLL,2025-12-19,2025-12-26,,17.0,0.0,0.0,0.0,13.0,175.0,0.0,,-0.034,0.022,-0.016,283.0,97.0,1.06,
TSLL,2025-12-19,2025-12-26,,17.5,0.925,0.035,-0.037,5.0,0.0,1.225,,-0.047,0.029,-0.021,214.0,2.0,1.033,
TSLL,2025-12-19,2025-12-26,,18.0,0.869,0.045,-0.065,19.0,10.0,1.443,,-0.072,0.039,-0.03,910.0,255.0,1.06,
TSLL,2025-12-19,2025-12-26,,18.5,0.822,0.05,-0.087,104.0,13.0,1.593,,-0.087,0.048,-0.032,468.0,126.0,0.994,
TSLL,2025-12-19,2025-12-26,,19.0,0.893,0.06,-0.038,158.0,39.0,0.938,,-0.107,0.06,-0.036,3861.0,750.0,0.938,
TSLL,2025-12-19,2025-12-26,,19.5,0.799,0.069,-0.073,381.0,17.0,1.239,,-0.137,0.074,-0.04,2628.0,331.0,0.9,
TSLL,2025-12-19,2025-12-26,,20.0,0.839,0.091,-0.042,1059.0,53.0,0.808,,-0.184,0.089,-0.049,893.0,1263.0,0.903,
TSLL,2025-12-19,2025-12-26,,20.5,0.785,0.11,-0.05,420.0,399.0,0.802,,-0.236,0.104,-0.057,1333.0,979.0,0.898,
TSLL,2025-12-19,2025-12-26,,21.0,0.712,0.121,-0.062,1461.0,762.0,0.853,,-0.295,0.117,-0.063,843.0,801.0,0.894,
TSLL,2025-12-19,2025-12-26,,21.5,0.648,0.136,-0.065,862.0,949.0,0.825,,-0.358,0.127,-0.068,678.0,324.0,0.887,
TSLL,2025-12-19,2025-12-26,,22.0,0.579,0.153,-0.064,2877.0,2096.0,0.773,,-0.425,0.136,-0.07,604.0,992.0,0.871,
TSLL,2025-12-19,2025-12-26,,22.5,0.501,0.156,-0.065,1485.0,1631.0,0.771,,-0.495,0.139,-0.07,883.0,1684.0,0.867,
TSLL,2025-12-19,2025-12-26,,23.0,0.428,0.15,-0.065,3007.0,2459.0,0.793,,-0.559,0.133,-0.072,424.0,3124.0,0.898,
TSLL,2025-12-19,2025-12-26,,23.5,0.354,0.144,-0.061,1626.0,1783.0,0.779,,-0.662,0.154,-0.053,362.0,2650.0,0.719,
TSLL,2025-12-19,2025-12-26,,24.0,0.292,0.132,-0.056,3221.0,2313.0,0.788,,-0.739,0.142,-0.045,37.0,2647.0,0.695,
TSLL,2025-12-19,2025-12-26,,25.0,0.196,0.102,-0.048,1726.0,3149.0,0.823,,-0.897,0.094,-0.02,54.0,19.0,0.584,
TSLL,2025-12-19,2025-12-26,,26.0,0.141,0.076,-0.042,1171.0,1439.0,0.892,,-0.923,0.064,-0.019,63.0,6.0,0.697,
TSLL,2025-12-19,2025-12-26,,27.0,0.091,0.054,-0.031,295.0,384.0,0.908,,-0.933,0.048,-0.02,1.0,0.0,0.826,
TSLL,2025-12-19,2025-12-26,,28.0,0.057,0.037,-0.022,373.0,126.0,0.92,,-0.956,0.033,-0.016,0.0,0.0,0.874,
TSLL,2025-12-19,2025-12-26,,29.0,0.041,0.027,-0.018,53.0,10.0,0.968,,0.0,0.0,0.0,0.0,0.0,0.0,
TSLL,2025-12-19,2025-12-26,,30.0,0.026,0.018,-0.012,121.0,5.0,0.982,,0.0,0.0,0.0,1.0,0.0,0.0,
TSLL,2025-12-19,2025-12-26,,31.0,0.027,0.017,-0.014,0.0,11.0,1.097,,0.0,0.0,0.0,0.0,0.0,0.0,
TSLL,2025-12-19,2025-12-26,,32.0,0.054,0.024,-0.032,0.0,0.0,1.417,,0.0,0.0,0.0,0.0,0.0,0.0,
TSLL,2025-12-19,2025-12-26,,33.0,0.179,0.033,-0.13,0.0,0.0,2.399,,0.0,0.0,0.0,0.0,2.0,0.0,
TSLL,2025-12-19,2025-12-26,,34.0,0.174,0.031,-0.134,0.0,100.0,2.514,,0.0,0.0,0.0,0.0,0.0,0.0,
TSLL,2025-12-19,2025-12-26,,35.0,0.014,0.008,-0.01,0.0,60.0,1.317,,0.0,0.0,0.0,0.0,0.0,0.0,
